scheduler idle,scheduler stalls,ibuffer stalls,scoreboard stalls,operands stalls,ifetches,loads,stores,ifetch latency,load latency,instrs,cycles,IPC,app,perf,arg,timestamp
10777 (89%),1 (0%),917 (7%),"1273 (10%) (alu=68%, fpu=1%, lsu=23%, csrs=7%, wctl=0%)",76 (0%),1375,535,793,18 cycles,27 cycles,4345,12060,0.360282,vecadd,1,-n16,2025-03-30T05:52:36.680679
10618 (87%),1 (0%),598 (4%),"1593 (13%) (alu=56%, fpu=2%, lsu=35%, csrs=4%, wctl=0%)",88 (0%),1540,743,857,16 cycles,17 cycles,5002,12066,0.414553,vecadd,1,-n32,2025-03-30T05:52:37.509230
11041 (86%),1 (0%),815 (6%),"2064 (16%) (alu=55%, fpu=3%, lsu=38%, csrs=3%, wctl=0%)",112 (0%),1868,1159,985,14 cycles,14 cycles,6314,12817,0.492627,vecadd,1,-n64,2025-03-30T05:52:38.344565
12128 (83%),1 (0%),1470 (10%),"3005 (20%) (alu=50%, fpu=4%, lsu=43%, csrs=1%, wctl=0%)",160 (1%),2524,1991,1241,12 cycles,12 cycles,8938,14560,0.613874,vecadd,1,-n128,2025-03-30T05:52:39.236001
12044 (87%),1 (0%),1581 (11%),"2523 (18%) (alu=43%, fpu=0%, lsu=54%, csrs=2%, wctl=0%)",140 (1%),1874,959,1041,16 cycles,23 cycles,6464,13825,0.467559,demo,1,-n16,2025-03-30T05:52:46.394880
13774 (85%),1 (0%),2960 (18%),"4145 (25%) (alu=36%, fpu=0%, lsu=62%, csrs=1%, wctl=0%)",204 (1%),2450,1471,1297,14 cycles,21 cycles,8768,16131,0.543550,demo,1,-n32,2025-03-30T05:52:46.928637
17247 (83%),1 (0%),5315 (25%),"7347 (35%) (alu=32%, fpu=0%, lsu=66%, csrs=0%, wctl=0%)",332 (1%),3602,2495,1809,13 cycles,21 cycles,13376,20756,0.644440,demo,1,-n64,2025-03-30T05:52:47.599951
20331 (77%),1 (0%),6579 (25%),"10662 (40%) (alu=34%, fpu=0%, lsu=65%, csrs=0%, wctl=0%)",588 (2%),5906,4543,2833,9 cycles,15 cycles,22592,26144,0.864137,demo,1,-n128,2025-03-30T05:52:48.417620
22793 (65%),2 (0%),2225 (6%),"12282 (35%) (alu=35%, fpu=0%, lsu=63%, csrs=0%, wctl=0%)",321 (0%),11907,12618,1752,5 cycles,8 cycles,46449,34562,1.343933,sgemm,1,-n16,2025-03-30T05:52:55.190539
86980 (54%),1 (0%),6534 (4%),"73429 (46%) (alu=29%, fpu=0%, lsu=70%, csrs=0%, wctl=0%)",1089 (0%),72643,82250,4824,3 cycles,7 cycles,289393,159485,1.814547,sgemm,1,-n32,2025-03-30T05:53:00.113523
