core0: lmem reads,core0: lmem writes,core0: lmem bank stalls,core0: icache reads,core0: icache read misses,core0: icache mshr stalls,core0: dcache reads,core0: dcache writes,core0: dcache read misses,core0: dcache write misses,core0: dcache bank stalls,core0: dcache mshr stalls,core0: coalescer misses,memory requests,memory latency,memory bank stalls,instrs,cycles,IPC,app,perf,arg,timestamp
0,0,0 (utilization=0%),1332,108 (hit ratio=91%),0 (utilization=100%),343,751,241 (hit ratio=29%),699 (hit ratio=6%),0 (utilization=100%),0 (utilization=100%),708 (hit ratio=35%),"1078 (reads=280, writes=798)",31 cycles,0 (utilization=100%),4345,12060,0.360282,vecadd,2,-n16,2025-03-30T05:52:40.042323
0,0,0 (utilization=0%),1497,107 (hit ratio=92%),0 (utilization=100%),419,803,165 (hit ratio=60%),703 (hit ratio=12%),0 (utilization=100%),0 (utilization=100%),768 (hit ratio=37%),"1049 (reads=199, writes=850)",38 cycles,0 (utilization=100%),5002,12066,0.414553,vecadd,2,-n32,2025-03-30T05:52:40.853048
0,0,0 (utilization=0%),1825,107 (hit ratio=94%),0 (utilization=100%),571,907,159 (hit ratio=72%),711 (hit ratio=21%),0 (utilization=100%),0 (utilization=100%),888 (hit ratio=39%),"1151 (reads=197, writes=954)",39 cycles,0 (utilization=100%),6314,12817,0.492627,vecadd,2,-n64,2025-03-30T05:52:41.685411
0,0,0 (utilization=0%),2481,107 (hit ratio=95%),0 (utilization=100%),875,1115,154 (hit ratio=82%),727 (hit ratio=34%),0 (utilization=100%),0 (utilization=100%),1128 (hit ratio=43%),"1355 (reads=193, writes=1162)",41 cycles,0 (utilization=100%),8938,14560,0.613874,vecadd,2,-n128,2025-03-30T05:52:42.583348
0,0,0 (utilization=0%),1830,119 (hit ratio=93%),0 (utilization=100%),815,1012,199 (hit ratio=75%),960 (hit ratio=5%),0 (utilization=100%),0 (utilization=100%),1284 (hit ratio=29%),"1297 (reads=238, writes=1059)",44 cycles,0 (utilization=100%),6464,13825,0.467559,demo,2,-n16,2025-03-30T05:52:48.884515
0,0,0 (utilization=0%),2406,119 (hit ratio=95%),0 (utilization=100%),1327,1268,234 (hit ratio=82%),1216 (hit ratio=4%),0 (utilization=100%),0 (utilization=100%),1860 (hit ratio=28%),"1585 (reads=270, writes=1315)",48 cycles,0 (utilization=100%),8768,16131,0.543550,demo,2,-n32,2025-03-30T05:52:49.408213
0,0,0 (utilization=0%),3558,119 (hit ratio=96%),0 (utilization=100%),2351,1780,330 (hit ratio=85%),1728 (hit ratio=2%),0 (utilization=100%),0 (utilization=100%),3012 (hit ratio=27%),"2194 (reads=367, writes=1827)",51 cycles,0 (utilization=100%),13376,20756,0.644440,demo,2,-n64,2025-03-30T05:52:50.080047
0,0,0 (utilization=0%),5862,119 (hit ratio=97%),0 (utilization=100%),4399,2804,451 (hit ratio=89%),2752 (hit ratio=1%),0 (utilization=100%),0 (utilization=100%),5316 (hit ratio=26%),"3339 (reads=488, writes=2851)",31 cycles,0 (utilization=100%),22592,26144,0.864137,demo,2,-n128,2025-03-30T05:52:50.901167
0,0,0 (utilization=0%),11863,119 (hit ratio=98%),0 (utilization=100%),4110,1531,193 (hit ratio=95%),761 (hit ratio=50%),0 (utilization=100%),0 (utilization=100%),1992 (hit ratio=64%),"1798 (reads=220, writes=1578)",39 cycles,0 (utilization=100%),46449,34562,1.343933,sgemm,2,-n16,2025-03-30T05:58:05.961392
0,0,0 (utilization=0%),72599,119 (hit ratio=99%),0 (utilization=100%),23822,4027,333 (hit ratio=98%),953 (hit ratio=76%),0 (utilization=100%),0 (utilization=100%),6024 (hit ratio=78%),"4387 (reads=313, writes=4074)",33 cycles,0 (utilization=100%),289393,159485,1.814547,sgemm,2,-n32,2025-03-30T05:58:10.889019
0,0,0 (utilization=0%),516247,119 (hit ratio=99%),0 (utilization=100%),160014,14011,10793 (hit ratio=93%),5428 (hit ratio=61%),0 (utilization=100%),0 (utilization=100%),22152 (hit ratio=87%),"23035 (reads=8968, writes=14067)",17 cycles,0 (utilization=100%),2063985,1155581,1.786102,sgemm,2,-n64,2025-03-30T05:58:43.417933
0,0,0 (utilization=0%),3896471,120 (hit ratio=99%),0 (utilization=100%),1163534,53947,272062 (hit ratio=76%),15452 (hit ratio=71%),0 (utilization=100%),0 (utilization=100%),86664 (hit ratio=92%),"207817 (reads=153823, writes=53994)",15 cycles,0 (utilization=100%),15584881,9934317,1.568792,sgemm,2,-n128,2025-03-30T06:03:14.677578
0,0,0 (utilization=0%),6172,124 (hit ratio=97%),0 (utilization=100%),2790,1385,167 (hit ratio=94%),798 (hit ratio=42%),0 (utilization=100%),0 (utilization=100%),2041 (hit ratio=51%),"1629 (reads=197, writes=1432)",38 cycles,0 (utilization=100%),23685,23421,1.011272,sfilter,2,-n16,2025-03-30T06:09:04.280141
0,0,0 (utilization=0%),24124,124 (hit ratio=99%),0 (utilization=100%),11790,3849,292 (hit ratio=97%),1150 (hit ratio=70%),0 (utilization=100%),0 (utilization=100%),6993 (hit ratio=55%),"4182 (reads=286, writes=3896)",31 cycles,0 (utilization=100%),95493,63571,1.502147,sfilter,2,-n32,2025-03-30T06:09:06.557925
0,0,0 (utilization=0%),99196,124 (hit ratio=99%),0 (utilization=100%),49374,14153,644 (hit ratio=98%),2671 (hit ratio=81%),0 (utilization=100%),0 (utilization=100%),27649 (hit ratio=56%),"14696 (reads=496, writes=14200)",29 cycles,0 (utilization=100%),395781,238430,1.659946,sfilter,2,-n64,2025-03-30T06:09:13.813428
0,0,0 (utilization=0%),406012,124 (hit ratio=99%),0 (utilization=100%),202878,56265,2327 (hit ratio=98%),8888 (hit ratio=84%),0 (utilization=100%),0 (utilization=100%),111969 (hit ratio=56%),"57832 (reads=1519, writes=56313)",24 cycles,0 (utilization=100%),1623045,941807,1.723331,sfilter,2,-n128,2025-03-30T06:09:41.168816
0,0,0 (utilization=0%),1328,107 (hit ratio=91%),0 (utilization=100%),343,751,248 (hit ratio=27%),700 (hit ratio=6%),0 (utilization=100%),0 (utilization=100%),708 (hit ratio=35%),"1086 (reads=288, writes=798)",30 cycles,0 (utilization=100%),4329,12217,0.354342,saxpy,2,-n16,2025-03-30T06:10:24.256404
0,0,0 (utilization=0%),1489,106 (hit ratio=92%),0 (utilization=100%),419,803,223 (hit ratio=46%),701 (hit ratio=12%),0 (utilization=100%),0 (utilization=100%),768 (hit ratio=37%),"1109 (reads=259, writes=850)",32 cycles,0 (utilization=100%),4970,12532,0.396585,saxpy,2,-n32,2025-03-30T06:10:25.078342
0,0,0 (utilization=0%),1809,106 (hit ratio=94%),0 (utilization=100%),571,907,223 (hit ratio=60%),703 (hit ratio=22%),0 (utilization=100%),0 (utilization=100%),888 (hit ratio=39%),"1217 (reads=263, writes=954)",32 cycles,0 (utilization=100%),6250,13368,0.467534,saxpy,2,-n64,2025-03-30T06:10:25.939325
0,0,0 (utilization=0%),2449,106 (hit ratio=95%),0 (utilization=100%),875,1115,186 (hit ratio=78%),707 (hit ratio=36%),0 (utilization=100%),0 (utilization=100%),1128 (hit ratio=43%),"1387 (reads=225, writes=1162)",37 cycles,0 (utilization=100%),8810,14928,0.590166,saxpy,2,-n128,2025-03-30T06:10:26.855749
,,,,,,,,,,,,,,,,,,,nearn,2,-n16,2025-03-30T06:10:31.958429
,,,,,,,,,,,,,,,,,,,nearn,2,-n32,2025-03-30T06:10:32.116035
,,,,,,,,,,,,,,,,,,,nearn,2,-n64,2025-03-30T06:10:32.272595
,,,,,,,,,,,,,,,,,,,nearn,2,-n128,2025-03-30T06:10:32.428482
