warp_efficiency,instrs,cycles,IPC,app,perf,arg,timestamp
81,4345,12060,0.360282,vecadd,3,-n16,2025-03-30T05:52:43.391715
83,5002,12066,0.414553,vecadd,3,-n32,2025-03-30T05:52:44.198870
86,6314,12817,0.492627,vecadd,3,-n64,2025-03-30T05:52:45.030653
90,8938,14560,0.613874,vecadd,3,-n128,2025-03-30T05:52:45.933556
88,6464,13825,0.467559,demo,3,-n16,2025-03-30T05:52:51.360315
91,8768,16131,0.543550,demo,3,-n32,2025-03-30T05:52:51.893522
94,13376,20756,0.644440,demo,3,-n64,2025-03-30T05:52:52.561535
96,22592,26144,0.864137,demo,3,-n128,2025-03-30T05:52:53.380347
97,46449,34562,1.343933,sgemm,3,-n16,2025-03-30T06:03:16.133767
99,289393,159485,1.814547,sgemm,3,-n32,2025-03-30T06:03:21.030570
99,2063985,1155581,1.786102,sgemm,3,-n64,2025-03-30T06:03:53.445064
99,15584881,9934317,1.568792,sgemm,3,-n128,2025-03-30T06:08:24.480365
95,23685,23421,1.011272,sfilter,3,-n16,2025-03-30T06:09:42.308924
98,95493,63571,1.502147,sfilter,3,-n32,2025-03-30T06:09:44.592303
99,395781,238430,1.659946,sfilter,3,-n64,2025-03-30T06:09:51.896131
99,1623045,941807,1.723331,sfilter,3,-n128,2025-03-30T06:10:19.548945
81,4329,12217,0.354342,saxpy,3,-n16,2025-03-30T06:10:27.666770
83,4970,12532,0.396585,saxpy,3,-n32,2025-03-30T06:10:28.487578
86,6250,13368,0.467534,saxpy,3,-n64,2025-03-30T06:10:29.356364
90,8810,14928,0.590166,saxpy,3,-n128,2025-03-30T06:10:30.249362
,,,,nearn,3,-n16,2025-03-30T06:10:32.585446
,,,,nearn,3,-n32,2025-03-30T06:10:32.742362
,,,,nearn,3,-n64,2025-03-30T06:10:32.898742
,,,,nearn,3,-n128,2025-03-30T06:10:33.055662
